#,Team,Season,Playoffs,PTS/G,PTS,Plays,YDS,YDS/Play,1STDWN,3DMADE,3DATT,3DPCT,MADERED,ATTRED,PCTRED,PEN, PENYARDS,TOP,TOP 2,TODIFF,DefPTS,DefPLAYS,DefYDS,DefYDS/PLAY,Def1STDWN,Def3dMADE,Def3dATT,Def3dPCT,DefMADERED,DefATTRED,DefPCTRED,DefPEN,DefPENYDS,DefTOP
1,49ers,2011,Y,23.8,380,993,4974,5,282,65,221,29.4,22,54,40.7,113,1014,32:08:00,32:08,28,229,974,4933,5.1,267,76,216,35.2,14,34,41.2,98,867,28:03:00
2,49ers,2012,Y,24.8,397,969,5789,6,322,68,194,35.1,28,55,50.9,109,960,32:46:00,32:46,9,273,1012,4710,4.7,284,71,215,33,22,36,61.1,93,758,30:05:00
3,49ers,2013,Y,25.4,406,961,5180,5.4,286,77,211,36.5,31,55,56.4,103,845,31:34:00,31:34,12,272,1020,5071,5,284,76,223,34.1,22,41,53.7,96,878,29:26:00
4,49ers,2014,N,19.1,306,1010,5238,5.2,303,86,214,40.2,19,44,43.2,116,939,32:44:00,32:44,7,340,989,5143,5.2,308,88,203,43.3,27,44,61.4,122,909,29:11:00
5,49ers,2015,N,14.9,238,969,4860,5,261,65,213,30.5,17,39,43.6,113,823,27:42:00,27:42,-5,387,1081,6199,5.7,356,82,210,39,32,54,59.3,112,920,34:09:00
6,49ers,2016,N,19.3,309,997,4930,4.9,287,78,222,35.1,30,44,68.2,99,831,27:56:00,27:56,-5,480,1103,6501,5.9,358,102,226,45.1,41,66,62.1,93,795,33:28:00
7,49ers,2017,N,20.7,331,1058,5589,5.3,321,91,234,38.9,24,51,47.1,123,988,29:16:00,29:16,-3,383,1065,5625,5.3,343,95,221,43,34,57,59.6,97,791,32:51:00
8,49ers,2018,N,21.4,342,1003,5769,5.8,344,73,193,37.8,21,51,41.2,112,982,30:55:00,30:55,-25,435,1023,5546,5.4,337,87,216,40.3,38,58,65.5,117,1011,31:31:00
9,49ers,2019,Y,29.9,479,1012,6097,6,336,90,200,45,33,62,53.2,105,939,32:37:00,32:37,4,310,968,4509,4.7,285,64,192,33.3,24,40,60,116,957,29:00:00
10,49ers,2020,N,23.5,376,1046,5922,5.7,350,77,197,39.1,37,55,67.3,85,731,31:23:00,31:23,-11,390,997,5030,5,311,71,200,35.5,26,45,57.8,79,709,29:37:00
